(6, 4) x (5, 3) => 0
(5, 3) x (5, 5) => 1
(5, 5) x (5, 3) => 0
(5, 3) x (5, 4) => 1
(5, 4) x (5, 3) => 0
(5, 3) x (4, 5) => 1
(4, 5) x (5, 3) => 0
(5, 3) x (4, 4) => 1
(4, 4) x (5, 3) => 0
(5, 3) x (7, 3) => 1
(7, 3) x (5, 3) => 0
(5, 3) x (6, 3) => 1
(6, 3) x (5, 3) => 0
(5, 3) x (7, 1) => 1
(7, 1) x (5, 3) => 0
(5, 3) x (7, 0) => 1
(7, 0) x (5, 3) => 0
(5, 3) x (6, 1) => 1
(6, 1) x (5, 3) => 0
(5, 3) x (6, 0) => 1
(6, 0) x (5, 3) => 0
(5, 3) x (4, 2) => 0
(4, 6) x (4, 2) => 0
(4, 6) x (7, 5) => 1
(7, 5) x (4, 6) => 0
(4, 6) x (7, 4) => 1
(7, 4) x (4, 6) => 0
(4, 6) x (6, 5) => 1
(6, 5) x (4, 6) => 0
(4, 6) x (6, 4) => 1
(6, 4) x (4, 6) => 0
(4, 6) x (5, 5) => 0
(4, 3) x (4, 2) => 0
(4, 3) x (7, 5) => 1
(7, 5) x (4, 3) => 0
(4, 3) x (7, 4) => 1
(7, 4) x (4, 3) => 0
(4, 3) x (6, 5) => 1
(6, 5) x (4, 3) => 0
(4, 3) x (6, 4) => 1
(6, 4) x (4, 3) => 0
(4, 3) x (4, 6) => 1
(4, 6) x (4, 3) => 0
(4, 3) x (5, 5) => 1
(5, 5) x (4, 3) => 0
(4, 3) x (5, 4) => 1
(5, 4) x (4, 3) => 0
(4, 3) x (4, 5) => 1
(4, 5) x (4, 3) => 0
(4, 3) x (4, 4) => 1
(4, 4) x (4, 3) => 0
(4, 3) x (7, 3) => 1
(7, 3) x (4, 3) => 0
(4, 3) x (6, 3) => 1
(6, 3) x (4, 3) => 0
(4, 3) x (7, 1) => 1
(7, 1) x (4, 3) => 0
(4, 3) x (7, 0) => 1
(7, 0) x (4, 3) => 0
(4, 3) x (6, 1) => 1
(6, 1) x (4, 3) => 0
(4, 3) x (6, 0) => 1
(6, 0) x (4, 3) => 0
(4, 3) x (5, 3) => 1
(5, 3) x (4, 3) => 0
(4, 3) x (4, 2) => 0
(6, 6) x (4, 2) => 0
(6, 6) x (7, 5) => 0
(7, 6) x (4, 2) => 0
(7, 6) x (6, 6) => 0
(7, 2) x (4, 2) => 0
(7, 2) x (7, 6) => 1
(7, 6) x (7, 2) => 0
(7, 2) x (6, 6) => 1
(6, 6) x (7, 2) => 0
(7, 2) x (7, 5) => 1
(7, 5) x (7, 2) => 0
(7, 2) x (7, 4) => 1
(7, 4) x (7, 2) => 0
(7, 2) x (6, 5) => 1
(6, 5) x (7, 2) => 0
(7, 2) x (6, 4) => 1
(6, 4) x (7, 2) => 0
(7, 2) x (4, 6) => 1
(4, 6) x (7, 2) => 0
(7, 2) x (5, 5) => 1
(5, 5) x (7, 2) => 0
(7, 2) x (5, 4) => 1
(5, 4) x (7, 2) => 0
(7, 2) x (4, 5) => 1
(4, 5) x (7, 2) => 0
(7, 2) x (4, 4) => 1
(4, 4) x (7, 2) => 0
(7, 2) x (7, 3) => 1
(7, 3) x (7, 2) => 0
(7, 2) x (6, 3) => 0
(6, 2) x (4, 2) => 0
(6, 2) x (7, 6) => 1
(7, 6) x (6, 2) => 0
(6, 2) x (6, 6) => 1
(6, 6) x (6, 2) => 0
(6, 2) x (7, 5) => 1
(7, 5) x (6, 2) => 0
(6, 2) x (7, 4) => 1
(7, 4) x (6, 2) => 0
(6, 2) x (6, 5) => 1
(6, 5) x (6, 2) => 0
(6, 2) x (6, 4) => 1
(6, 4) x (6, 2) => 0
(6, 2) x (4, 6) => 1
(4, 6) x (6, 2) => 0
(6, 2) x (5, 5) => 1
(5, 5) x (6, 2) => 0
(6, 2) x (5, 4) => 1
(5, 4) x (6, 2) => 0
(6, 2) x (4, 5) => 1
(4, 5) x (6, 2) => 0
(6, 2) x (4, 4) => 1
(4, 4) x (6, 2) => 0
(6, 2) x (7, 3) => 1
(7, 3) x (6, 2) => 0
(6, 2) x (7, 2) => 1
(7, 2) x (6, 2) => 0
(6, 2) x (6, 3) => 1
(6, 3) x (6, 2) => 0
(6, 2) x (7, 1) => 0
(5, 6) x (4, 2) => 0
(5, 6) x (7, 6) => 1
(7, 6) x (5, 6) => 0
(5, 6) x (6, 6) => 1
(6, 6) x (5, 6) => 0
(5, 6) x (7, 5) => 1
(7, 5) x (5, 6) => 0
(5, 6) x (7, 4) => 1
(7, 4) x (5, 6) => 0
(5, 6) x (6, 5) => 1
(6, 5) x (5, 6) => 0
(5, 6) x (6, 4) => 1
(6, 4) x (5, 6) => 0
(5, 6) x (4, 6) => 0
(5, 2) x (4, 2) => 0
(5, 2) x (7, 6) => 1
(7, 6) x (5, 2) => 0
(5, 2) x (6, 6) => 1
(6, 6) x (5, 2) => 0
(5, 2) x (7, 5) => 1
(7, 5) x (5, 2) => 0
(5, 2) x (7, 4) => 1
(7, 4) x (5, 2) => 0
(5, 2) x (6, 5) => 1
(6, 5) x (5, 2) => 0
(5, 2) x (6, 4) => 1
(6, 4) x (5, 2) => 0
(5, 2) x (5, 6) => 1
(5, 6) x (5, 2) => 0
(5, 2) x (4, 6) => 1
(4, 6) x (5, 2) => 0
(5, 2) x (5, 5) => 1
(5, 5) x (5, 2) => 0
(5, 2) x (5, 4) => 1
